ticker,name,market,delisting_date,reason,is_genuine
439410,엔에이치스팩26호,KOSDAQ,2025-07-08,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동사유 미해소,Y
442130,유진스팩9호,KOSDAQ,2025-07-09,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동사유 미해소,Y
476470,KB제28호스팩,KOSDAQ,2025-07-09,피흡수합병(스팩소멸합병),N
440790,교보13호스팩,KOSDAQ,2025-07-11,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동사유 미해소,Y
442310,대신밸런스제14호스팩,KOSDAQ,2025-07-11,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동사유 미해소,Y
023460,CNH,KOSDAQ,2025-07-14,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,Y
440820,엔에이치스팩27호,KOSDAQ,2025-07-21,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소,Y
950110,SBI핀테크솔루션즈,KOSDAQ,2025-07-24,상장폐지 신청('25.06.26),Y
445360,비엔케이제1호스팩,KOSDAQ,2025-07-28,합병상장예비심사신청서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소,Y
049770,동원F&B,KOSPI,2025-07-31,지주회사(최대주주등)의 완전자회사화 등,N
445970,신영스팩9호,KOSDAQ,2025-08-01,합병상장예비심사신청서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소,Y
289860,지슨,KONEX,2025-08-14,피흡수합병,N
086460,큐러블,KONEX,2025-08-19,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,Y
044060,조광ILI,KOSDAQ,2025-08-21,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,Y
290380,대유,KOSDAQ,2025-08-21,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,Y
430220,신영스팩8호,KOSDAQ,2025-08-22,피흡수합병(스팩소멸합병),N
019590,에스유앤피,KOSDAQ,2025-09-08,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,Y
446190,미래에셋비전스팩2호,KOSDAQ,2025-09-09,피흡수합병(스팩소멸합병),N
024810,이화전기,KOSDAQ,2025-09-10,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,Y
096040,이트론,KOSDAQ,2025-09-10,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,Y
093230,이아이디,KOSPI,2025-09-11,"기업의 계속성, 경영의 투명성 및 기타 공익과 투자자 보호 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정",Y
010420,한솔피엔에스,KOSPI,2025-09-25,지주회사(최대주주등)의 완전자회사화 등,N
005390,신성통상,KOSPI,2025-09-30,신청에 의한 상장폐지,Y
449020,유안타제13호스팩,KOSDAQ,2025-10-10,합병상장예비심사신청서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소,Y
448740,삼성스팩8호,KOSDAQ,2025-10-14,합병상장예비심사신청서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소,Y
446750,하나26호스팩,KOSDAQ,2025-10-16,합병상장예비심사신청서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소,Y
442900,미래에셋드림스팩1호,KOSDAQ,2025-10-23,합병상장예비심사신청서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소,Y
