ticker,name,market,delisting_date,reason,is_genuine
195440,퓨전,KOSDAQ,2021-06-10,감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성),Y
226350,아이엠텍,KOSDAQ,2021-06-11,감사의견 거절(감사범위 제한),Y
900080,에스앤씨엔진그룹,KOSDAQ,2021-06-14,"법정제출기한까지 사업보고서를 제출하지 아니한 후, 법정제출기한의 다음날부터 10일이내에 사업보고서를 제출하지 아니함",Y
232680,라온테크,KONEX,2021-06-17,코스닥시장 이전상장,N
097520,엠씨넥스,KOSDAQ,2021-07-06,유가증권시장 상장,N
307160,하나머스트제6호스팩,KOSDAQ,2021-07-08,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동사유 미해소,Y
307070,SK4호스팩,KOSDAQ,2021-07-13,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동사유 미해소,Y
028150,GS홈쇼핑,KOSDAQ,2021-07-16,피흡수합병,N
043290,케이맥,KOSDAQ,2021-07-20,피흡수합병,N
284420,휴럼,KONEX,2021-07-27,피흡수합병,N
270660,에브리봇,KONEX,2021-07-28,코스닥시장 이전상장,N
311270,키움제5호스팩,KOSDAQ,2021-08-02,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동사유 미해소,Y
065620,제낙스,KOSDAQ,2021-08-09,감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성),Y
178920,PI첨단소재,KOSDAQ,2021-08-09,유가증권시장 상장,N
033600,럭슬,KOSDAQ,2021-08-11,감사의견 거절(감사범위 제한),Y
058970,엠로,KONEX,2021-08-13,코스닥시장 이전상장,N
038160,팍스넷,KOSDAQ,2021-08-23,감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성),Y
033660,우리금융캐피탈,KOSPI,2021-08-27,지주회사(최대주주등)의 완전자회사화 등,N
086250,이노와이즈,KOSDAQ,2021-08-31,감사의견 거절(감사범위 제한),Y
354230,폭스소프트,KONEX,2021-09-01,지정자문인 선임계약 해지 후 30일 이내 미체결(2021.8.18 限),Y
033430,디에스티,KOSDAQ,2021-09-02,감사의견 한정(감사범위 제한),Y
203400,에이비온,KONEX,2021-09-08,코스닥시장 이전상장,N
080440,에스제이케이,KOSDAQ,2021-09-13,해산사유 발생(파산선고),Y
141070,맥스로텍,KOSDAQ,2021-09-16,발행한 어음 또는 수표가 주거래은행에 의하여 최종부도로 결정되거나 거래은행에 의한 거래정지,Y
310840,엔에이치스팩13호,KOSDAQ,2021-09-23,상장예비심사청구서 미제출,Y
260970,에스앤디,KONEX,2021-09-29,코스닥시장 이전상장,N
111820,지유온,KOSDAQ,2021-09-30,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,Y
213090,미래테크놀로지,KOSDAQ,2021-10-05,피흡수합병,N
039230,에이아이비트,KOSDAQ,2021-10-06,감사의견 거절(감사범위 제한),Y
033110,코너스톤네트웍스,KOSDAQ,2021-10-08,감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성),Y
087730,이엠네트웍스,KOSDAQ,2021-10-08,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,Y
317030,케이비17호스팩,KOSDAQ,2021-11-04,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동사유 미해소,Y
144620,코오롱머티리얼,KOSPI,2021-11-05,지주회사(최대주주등)의 완전자회사화 등,N
031390,녹십자셀,KOSDAQ,2021-11-17,피흡수합병,N
222160,바이옵트로,KONEX,2021-11-18,코스닥시장 이전상장,N
086080,다이노나,KONEX,2021-11-22,피흡수합병,N
313750,유안타제4호스팩,KOSDAQ,2021-12-07,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동사유 미해소,Y
317320,한화에스비아이스팩,KOSDAQ,2021-12-07,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소,Y
158300,에스에이티이엔지,KONEX,2021-12-09,피흡수합병,N
199800,툴젠,KONEX,2021-12-10,코스닥시장 이전상장,N
045890,GV,KOSDAQ,2021-12-20,해산사유 발생(파산선고),Y
036490,SK머티리얼즈,KOSDAQ,2021-12-27,피흡수합병,N
200350,래몽래인,KONEX,2021-12-30,코스닥시장 이전상장,N
172580,하이골드12호,KOSPI,2022-01-03,신청에 의한 상장폐지,Y
221610,자안바이오,KOSDAQ,2022-01-05,발행한 어음 또는 수표가 주거래은행에 의하여 최종부도로 결정되거나 거래은행에 의한 거래정지,Y
015350,부산도시가스,KOSPI,2022-01-18,지주회사(최대주주등)의 완전자회사화 등,N
101060,SBS미디어홀딩스,KOSPI,2022-01-18,해산 사유 발생,N
179530,애드바이오텍,KONEX,2022-01-24,코스닥시장 이전상장,N
