ticker,delisting_date,reason,is_genuine_keyword,is_genuine,rule,evidence
000830,2015-09-15,해산 사유 발생,Y,N,dissolution-post-merger,20150619000462 [기재정정]주요사항보고서(합병결정) 20150619
003940,2016-01-21,해산 사유 발생,Y,N,dissolution-post-merger,20151001000246 [기재정정]주요사항보고서(합병결정) 20151001
025850,2016-03-15,해산 사유 발생,Y,N,dissolution-post-merger,20151217000245 [기재정정]주요사항보고서(회사합병결정) 20151217
008900,2016-05-17,해산 사유 발생,Y,N,dissolution-post-merger,20160201000390 [기재정정]주요사항보고서(회사합병결정) 20160201
104110,2017-01-02,해산 사유 발생,Y,N,dissolution-post-merger,20161223000041 [기재정정]주요사항보고서(회사합병결정) 20161223
104120,2017-01-02,해산 사유 발생,Y,N,dissolution-post-merger,20161223000044 [기재정정]주요사항보고서(회사합병결정) 20161223
068870,2017-01-17,해산 사유 발생,Y,N,dissolution-post-merger,20161214000402 [기재정정]주요사항보고서(회사합병결정) 20161214
037620,2017-01-20,해산 사유 발생,Y,N,dissolution-post-merger,20161014000405 [첨부정정]주요사항보고서(회사합병결정) 20161014
007190,2017-03-15,해산 사유 발생,Y,N,dissolution-post-merger,20161215000410 [첨부정정]주요사항보고서(회사합병결정) 20161215
005620,2017-08-25,해산 사유 발생,Y,N,dissolution-post-merger,20170613000162 [기재정정]주요사항보고서(회사합병결정) 20170613
004130,2018-12-19,해산 사유 발생,Y,N,dissolution-post-merger,20181001000251 [기재정정]주요사항보고서(회사합병결정) 20181001
140890,2019-05-07,해산 사유 발생,Y,N,spc-end-of-life,corp_name=트러스와이제7호위탁관리부동산투자회사
079660,2019-06-26,해산 사유 발생,Y,N,dissolution-post-merger,20190521000463 [기재정정]주요사항보고서(회사합병결정) 20190521
002300,2020-07-13,해산 사유 발생,Y,N,dissolution-post-merger,20200504000199 [기재정정]주요사항보고서(회사합병결정) 20200504
004200,2020-07-21,해산 사유 발생,Y,N,dissolution-post-merger,20200327001371 주요사항보고서(회사합병결정) 20200327
152330,2020-12-18,해산 사유 발생,Y,N,dissolution-post-merger,20200909000340 주요사항보고서(회사합병결정) 20200909
005190,2021-04-16,해산 사유 발생,Y,N,dissolution-post-merger,20210127000527 [기재정정]주요사항보고서(회사합병결정) 20210127
101060,2022-01-18,해산 사유 발생,Y,N,dissolution-post-merger,20211005000324 [기재정정]주요사항보고서(회사합병결정) 20211005
002270,2022-07-20,해산 사유 발생,Y,N,dissolution-post-merger,20220617000213 [기재정정]주요사항보고서(회사합병결정) 20220617
096300,2023-02-02,해산 사유 발생,Y,N,spc-end-of-life,corp_name=한국월드와이드베트남부동산개발특별자산1호투자회사
282690,2024-10-08,해산 사유 발생,Y,N,dissolution-post-merger,20240904000321 [기재정정]주요사항보고서(회사합병결정) 20240904
168490,2025-04-01,해산 사유 발생,Y,N,spc-end-of-life,corp_name=한국투자패러랠유전해외자원개발특별자산투자회사1호(지분증권)
