target_id,acquirer_id,refusal
3068,2456,該 2456 公開發行公司不繼續公開發行！
3080,3698,該 3698 公開發行公司不繼續公開發行！
3299,5317,該 5317 公開發行公司不繼續公開發行！
5255,2456,該 2456 公開發行公司不繼續公開發行！
8199,2448,該 2448 公開發行公司不繼續公開發行！
