stock_id,stock_name,delist_date,drawdown,call,halt_call,label,source
6289,華上,2022-09-26,0.35064935064935066,distress,merger,,
2499,東貝,2020-11-10,0.390521327014218,distress,distress,,
2831,中華商銀,2007-06-20,0.4025,distress,distress,,
6145,勁永,2018-10-01,0.4412587412587412,distress,merger,,
6172,互億,2022-06-29,0.45067264573991034,distress,distress,,
2378,鴻運電子,2006-07-12,0.4541666666666667,distress,distress,,
6131,鈞泰,2021-07-05,0.48867924528301887,distress,distress,,
1408,中興紡織,2006-06-26,0.5081967213114754,merger,distress,,
3089,億杰,2024-03-04,0.5276872964169381,merger,distress,,
4712,南璋,2024-09-25,0.5512572533849129,merger,distress,,
2443,昶虹,2024-11-19,0.5622047244094488,merger,distress,,
3561,昇陽光電,2018-10-01,0.6268656716417911,merger,merger,,
