ticker,name
015620,현대울산종금
015650,리젠트종금
015675,AP우주통신1우B
015730,대우정밀
015780,논    노
015880,태화쇼핑
015910,유산실업
015920,대림금속공업
015980,금    경
016070,동성반도체
016167,오라바이오틱스2우B
016230,유천건설
016310,신우산업기기
016350,신한종금
016385,KG스틸우
016390,나라종금
016430,동신제지
016480,한화종금
016500,삼삼종금
016550,한별텔레콤
016575,태평양제우
016620,우풍상호신용금고
016640,신    화
016680,태흥피혁
016690,신세계종금
016975,씨크롭1우
017070,호승
017090,풍연
017110,고려종금
017120,바로크
017210,코닉스
017320,태일정밀
017410,한주개발
017555,수산중공우
017620,라인건설
017740,주화산업
018020,스타리스
018230,보성건설
018360,메디슨
018380,유진산업
018415,현대금속우
018417,현대금속2우B
018480,부산리스금융
018550,한국안전유리
018570,선진금속
018590,KNC
018720,동양기공
018740,에어로시스템
018840,금성제관
018860,동방산업개발
018910,신호테크
019230,신한종합비료
019380,신강제지
019460,서울창업투자
019530,한국산업투자
019730,신한모방
020075,에버리소스우
020100,태일전자
020490,아이씨켐
020620,세본금속
020860,리타워텍
020880,동마산업
021090,케미그라스
021170,고려유화
021220,삼화정밀
021310,동화은행
021600,대동은행
021610,동남은행
021660,하이켐
021740,세화기술투자
021870,중앙리스금융
021930,경남리스
022020,삼경기전
022060,삼성투신증권
022130,건영종합건설
022510,동호전기
022610,한일
022770,금강정공
022780,옵셔널벤처스
022870,평화은행
023130,국민은행
023140,다다
023580,한서상호신용금고
023710,익산
023780,신한캐피탈
023880,삼협산업
023920,광일
024080,카리스소프트
024820,동부상호신용금고
024860,국제종합토건
024920,동신특강
024930,국정교과서
024960,영남종금
025080,외환리스
025090,대구리스금융
025150,삼주건설
025220,중앙상호신용금고
025840,레이디
025910,동방음향
025940,부영철강
025960,동흥전기
026240,동남리스
026900,신원금속
026920,영성제강
026930,한양철강공업
026950,한일제관
027450,한보상호신용금고
027460,주택은행
027560,케이디엠
027610,대륭
027890,스탠더드텔레
028305,에이치엘비우
029470,한국대아진공
029890,현대반도체
030700,한통엠닷컴
030710,동아금고
030970,주은리스
031090,화니백화점
032780,테라
032970,카인드웨어서울
033040,세림아이텍
033070,삼한콘트롤스
033300,보성인터
033350,대진정밀화학
033510,어필텔레콤
033725,블루스톤우
033855,지노시스템우
033885,블루멈우
034180,알바트로스
034190,코스파이더
034260,삼성다이나믹
034270,삼성 프라임
034330,사파이어전환
034340,사파이어성장
034350,트윈스챌린지
034430,한빛세이프일
034440,한빛세이프이
034470,동원장보고1
034650,성공파트너1
034760,호크아이즈
034770,SEI에셋
034820,드림
034840,트윈스비전일
034920,하이프로
034970,올에버
034980,이론테크
035050,플래티넘타겟
035300,실크로드
035320,알바트로스2
035340,엠피챌린지
035405,브이에스에스티우
035520,삼성그랑프리
035530,프라임성장형
035590,마이다스성일
035670,챌린지전환1
035680,챌린지성장2
035880,마이다스자일
035915,현대멀티캡우
035917,현대멀티캡2우
035919,현대멀티캡3우
035940,에스이아이주
035970,교보그로쓰
035980,교보 본드
036040,마이다스전일
036300,실크자산 1
036330,리젠트자산1
036390,대신불펀드일
036400,마이다스테크
036585,팜스코우B
036650,실크자산2
036780,알바트로스3
036825,BET우
036950,유리중립일
036960,유리피아이일
036970,리젠트성장1
037040,실크자산3
037180,알바트로스 4
037200,다산씨앤아이
037280,시스컴
037360,KTB전환형1
037410,코리아링크
037430,리젠트프로1
037480,박현주2성장
037490,박현주자산1
037520,유리아이피일
037530,유리배분일
037740,디지텔
037770,박현주3성장
037780,박현주4성장
038020,월드그랜드1
038270,옵티멈전환일
038310,마이다스전이
038380,KTB자산배분2
038520,화인썬트로닉
038760,KTB전환형41
038770,글로벌하이1
038940,박현주7성장
039050,마이다스테2
039160,월드그랜드2
039180,동원장보고2
039220,미래아이티1
